Year,Month_and_year,Day,Date,Day accumulation (inches),Data_Type
_2022,December_2022,5,12/5/2022,0,Snow_measurement
_2022,December_2022,6,12/6/2022,0,Snow_measurement
_2022,December_2022,7,12/7/2022,5,Snow_measurement
_2022,December_2022,8,12/8/2022,1,Snow_measurement
_2022,December_2022,9,12/9/2022,1,Snow_measurement
_2022,December_2022,10,12/10/2022,0,Snow_measurement
_2022,December_2022,11,12/11/2022,0,Snow_measurement
_2022,December_2022,12,12/12/2022,12,Snow_measurement
_2022,December_2022,13,12/13/2022,0,Snow_measurement
_2022,December_2022,14,12/14/2022,1,Snow_measurement
_2022,December_2022,15,12/15/2022,0,Snow_measurement
_2022,December_2022,16,12/16/2022,0,Snow_measurement
_2022,December_2022,17,12/17/2022,0,Snow_measurement
_2022,December_2022,18,12/18/2022,0,Snow_measurement
_2022,December_2022,19,12/19/2022,0,Snow_measurement
_2022,December_2022,20,12/20/2022,0,Snow_measurement
_2022,December_2022,21,12/21/2022,0,Snow_measurement
_2022,December_2022,22,12/22/2022,0,Snow_measurement
_2022,December_2022,23,12/23/2022,0,Snow_measurement
_2022,December_2022,24,12/24/2022,0,Snow_measurement
_2022,December_2022,25,12/25/2022,0,Snow_measurement
_2022,December_2022,26,12/26/2022,0,Snow_measurement
_2022,December_2022,27,12/27/2022,0,Snow_measurement
_2022,December_2022,28,12/28/2022,13,Snow_measurement
_2022,December_2022,29,12/29/2022,6,Snow_measurement
_2022,December_2022,30,12/30/2022,6,Snow_measurement
_2022,December_2022,31,12/31/2022,0,Snow_measurement
_2023,January_2023,1,1/1/2023,0,Snow_measurement
_2023,January_2023,2,1/2/2023,21,Snow_measurement
_2023,January_2023,3,1/3/2023,0,Snow_measurement
_2023,January_2023,4,1/4/2023,3,Snow_measurement
_2023,January_2023,5,1/5/2023,0,Snow_measurement
_2023,January_2023,6,1/6/2023,3,Snow_measurement
_2023,January_2023,7,1/7/2023,0,Snow_measurement
_2023,January_2023,8,1/8/2023,0,Snow_measurement
_2023,January_2023,9,1/9/2023,0,Snow_measurement
_2023,January_2023,10,1/10/2023,0,Snow_measurement
_2023,January_2023,11,1/11/2023,3,Snow_measurement
_2023,January_2023,12,1/12/2023,0,Snow_measurement
_2023,January_2023,13,1/13/2023,0,Snow_measurement
_2023,January_2023,14,1/14/2023,0,Snow_measurement
_2023,January_2023,15,1/15/2023,15,Snow_measurement
_2023,January_2023,16,1/16/2023,12,Snow_measurement
_2023,January_2023,17,1/17/2023,22,Snow_measurement
_2023,January_2023,18,1/18/2023,12,Snow_measurement
_2023,January_2023,19,1/19/2023,0,Snow_measurement
_2023,January_2023,20,1/20/2023,8,Snow_measurement
_2023,January_2023,21,1/21/2023,7,Snow_measurement
_2023,January_2023,22,1/22/2023,0,Snow_measurement
_2023,January_2023,23,1/23/2023,6,Snow_measurement
_2023,January_2023,24,1/24/2023,14,Snow_measurement
_2023,January_2023,25,1/25/2023,0,Snow_measurement
_2023,January_2023,26,1/26/2023,0,Snow_measurement
_2023,January_2023,27,1/27/2023,0,Snow_measurement
_2023,January_2023,28,1/28/2023,0,Snow_measurement
_2023,January_2023,29,1/29/2023,0,Snow_measurement
_2023,January_2023,30,1/30/2023,0,Snow_measurement
_2023,January_2023,31,1/31/2023,1,Snow_measurement
_2023,February_2023,1,2/1/2023,0,Snow_measurement
_2023,February_2023,2,2/2/2023,0,Snow_measurement
_2023,February_2023,3,2/3/2023,0,Snow_measurement
_2023,February_2023,4,2/4/2023,0,Snow_measurement
_2023,February_2023,5,2/5/2023,0,Snow_measurement
_2023,February_2023,6,2/6/2023,3,Snow_measurement
_2023,February_2023,7,2/7/2023,2,Snow_measurement
_2023,February_2023,8,2/8/2023,0,Snow_measurement
_2023,February_2023,9,2/9/2023,0,Snow_measurement
_2023,February_2023,10,2/10/2023,0,Snow_measurement
_2023,February_2023,11,2/11/2023,0,Snow_measurement
_2023,February_2023,12,2/12/2023,0,Snow_measurement
_2023,February_2023,13,2/13/2023,0,Snow_measurement
_2023,February_2023,14,2/14/2023,2,Snow_measurement
_2023,February_2023,15,2/15/2023,17,Snow_measurement
_2023,February_2023,16,2/16/2023,2,Snow_measurement
_2023,February_2023,17,2/17/2023,0,Snow_measurement
_2023,February_2023,18,2/18/2023,0,Snow_measurement
_2023,February_2023,19,2/19/2023,0,Snow_measurement
_2023,February_2023,20,2/20/2023,0,Snow_measurement
_2023,February_2023,21,2/21/2023,0,Snow_measurement
_2023,February_2023,22,2/22/2023,4,Snow_measurement
_2023,February_2023,23,2/23/2023,12,Snow_measurement
_2023,February_2023,24,2/24/2023,28,Snow_measurement
_2023,February_2023,25,2/25/2023,0,Snow_measurement
_2023,February_2023,26,2/26/2023,7,Snow_measurement
_2023,February_2023,27,2/27/2023,9,Snow_measurement
_2023,February_2023,28,2/28/2023,0,Snow_measurement
_2023,March_2023,1,3/1/2023,10,Snow_measurement
_2023,March_2023,2,3/2/2023,36,Snow_measurement
_2023,March_2023,3,3/3/2023,0,Snow_measurement
_2023,March_2023,4,3/4/2023,0,Snow_measurement
_2023,March_2023,5,3/5/2023,0,Snow_measurement
_2023,March_2023,6,3/6/2023,0,Snow_measurement
_2023,March_2023,7,3/7/2023,0,Snow_measurement
_2023,March_2023,8,3/8/2023,0,Snow_measurement
_2023,March_2023,9,3/9/2023,0,Snow_measurement
_2023,March_2023,10,3/10/2023,0,Snow_measurement
_2023,March_2023,11,3/11/2023,2,Snow_measurement
_2023,March_2023,12,3/12/2023,1,Snow_measurement
_2023,March_2023,13,3/13/2023,0,Snow_measurement
_2023,March_2023,14,3/14/2023,1,Snow_measurement
_2023,March_2023,15,3/15/2023,1,Snow_measurement
_2023,March_2023,16,3/16/2023,6,Snow_measurement
_2023,March_2023,17,3/17/2023,5,Snow_measurement
_2023,March_2023,18,3/18/2023,0,Snow_measurement
_2023,March_2023,19,3/19/2023,0,Snow_measurement
_2023,March_2023,20,3/20/2023,3,Snow_measurement
_2023,March_2023,21,3/21/2023,10,Snow_measurement
_2023,March_2023,22,3/22/2023,19,Snow_measurement
_2023,March_2023,23,3/23/2023,2,Snow_measurement
_2023,March_2023,24,3/24/2023,9,Snow_measurement
_2023,March_2023,25,3/25/2023,0,Snow_measurement
_2023,March_2023,26,3/26/2023,4,Snow_measurement
_2023,March_2023,27,3/27/2023,0,Snow_measurement
_2023,March_2023,28,3/28/2023,0,Snow_measurement
_2023,March_2023,29,3/29/2023,0,Snow_measurement
_2023,March_2023,30,3/30/2023,1,Snow_measurement
_2023,March_2023,31,3/31/2023,4,Snow_measurement
_2023,April_2023,1,4/1/2023,0,Snow_measurement
_2023,April_2023,2,4/2/2023,0,Snow_measurement
_2023,April_2023,3,4/3/2023,0,Snow_measurement
_2023,April_2023,4,4/4/2023,4,Snow_measurement
_2023,April_2023,5,4/5/2023,4,Snow_measurement
_2023,April_2023,6,4/6/2023,0,Snow_measurement
_2023,April_2023,7,4/7/2023,0,Snow_measurement
_2023,April_2023,8,4/8/2023,0,Snow_measurement
_2023,April_2023,9,4/9/2023,0,Snow_measurement
_2023,April_2023,10,4/10/2023,0,Snow_measurement
_2023,April_2023,11,4/11/2023,0,Snow_measurement
_2023,April_2023,12,4/12/2023,0,Snow_measurement
_2023,April_2023,13,4/13/2023,0,Snow_measurement
_2023,April_2023,14,4/14/2023,0,Snow_measurement
_2023,April_2023,15,4/15/2023,0,Snow_measurement
_2023,April_2023,16,4/16/2023,0,Snow_measurement
_2023,April_2023,17,4/17/2023,0,Snow_measurement
_2023,April_2023,18,4/18/2023,0,Snow_measurement
_2023,April_2023,19,4/19/2023,0,Snow_measurement
_2023,April_2023,20,4/20/2023,0,Snow_measurement
_2023,April_2023,21,4/21/2023,0,Snow_measurement
_2023,April_2023,22,4/22/2023,0,Snow_measurement
_2023,April_2023,23,4/23/2023,0,Snow_measurement
_2023,April_2023,24,4/24/2023,0,Snow_measurement
_2023,April_2023,25,4/25/2023,0,Snow_measurement
_2023,April_2023,26,4/26/2023,0,Snow_measurement
_2023,April_2023,27,4/27/2023,0,Snow_measurement
_2023,April_2023,28,4/28/2023,0,Snow_measurement
_2023,April_2023,29,4/29/2023,0,Snow_measurement
_2023,April_2023,30,4/30/2023,0,Snow_measurement
_2022,March_2022,30,3/30/2022,,Sample_point
_2022,December_2022,23,12/23/2022,,Sample_point
_2023,February_2023,27,2/27/2023,,Sample_point
_2023,April_2023,21,4/21/2023,,Sample_point
