row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,A1.mzML Peak area,A2.mzML Peak area,A3.mzML Peak area,A4.mzML Peak area,A5.mzML Peak area,A6.mzML Peak area,A7.mzML Peak area,A8.mzML Peak area,A9.mzML Peak area,A10.mzML Peak area,A11.mzML Peak area,A12.mzML Peak area,A13.mzML Peak area,A14.mzML Peak area,A15.mzML Peak area,A16.mzML Peak area,A17.mzML Peak area,A18.mzML Peak area,pooled_QC_1.mzML Peak area
46558,153.0546069,15.355607,,,,31,,,,,,,4869.832,7572.3788,2355.552,4742.4319,2944.1766,7105.737,3410.15035,1687.158065,20548.6625,69885.27,22648.3845,16662.362,11175.443,20306.2175,44334.6768,34208.693,5009.19,52241.4675,15796.3775
7323,153.0547049,3.2364357,,,,1636,,,,,,,322153.125,483617.59,323277.61,17632.8195,93461.67,99438.9,1669.73278,882.91975,185013.2,163118.655,6045.613,163214.525,104064.015,115234.715,119454.935,102440.638,70731.005,156398.295,165934.565
4558,153.054723,2.169458,,,,,,,,,,,128288.495,267690.39,59792.631,2382.42385,9670.52715,15218.202,3958.3627,2586.2041,8700.5235,6650.55245,4266.9805,7485.94875,12317.252,13080.868,19243.747,1962.5547,2002.69095,4330.698,23523.114
10580,153.054734,4.1782527,,,,2162,,,,,,,21410.971,17196.5005,9436.27835,0,2948.7035,7053.91,1663.23835,1550.6917,6454.34865,48636.045,4644.03265,36976.585,12065.598,27478.8085,11484.43675,1944.00205,3813.452,5338.4497,13483.4535
27141,153.06755,9.400366,,,,,,,,,,,203988.24,512362.86,283942.21,52846.242,174248.04,188685.255,0,846.1681,259914.57,497167.69,1175.930675,31082.5335,330035.32,161502.475,334368.7,2854.32921,317.11395,1122.7905,220188.61
6619,153.0911116,2.9625664,,,,1848,683,[M+H]+,,1,6616,152.08387,33075.2415,25339.413,22397.1995,1904.306985,2503.512,12561.751,2700.5965,1728.7995,15136.06225,22163.1815,2820.1594,29531.154,42527.9645,59518.2885,59474.8,5695.1172,8600.62635,9497.737,20575.1945
46218,153.1386653,13.871574,,,,2190,,,,,,,348124.8,282556.62,252310.435,412503.515,319035.305,374137.84,395825.03,359588.215,287152.33,444293.035,466322.17,392426.48,387488.39,273268.905,321172.815,577132.13,516195.775,535189.65,273656.35
10327,154.122758,4.1128902,,,,453,,,,,,,14997.55,36746.424,27748.5895,294480.28,1584967.75,1075874.15,332.873245,994.74475,14450.383,1795.12575,267.737975,1942.2205,0,0,0,1608.999775,1180.12175,1991.9249,211116.94
8934,154.122763,3.7292945,,,,,,,,,,,901.3882,3571.04235,960.30625,229932.57,837121.58,556214.68,708.786435,601.99853,6067.8712,1532.5863,98.176225,3421.97665,0,646.11345,0,3808.4824,2277.699,5571.53495,127443.455
130,154.9074847,0.6794999,,,,1794,0,[M-H+2Na]+,,2,130;188,109.9368,636.98389,127085.16,6923.136,7642.82685,24325.733,2279.255385,0,0,2270.05845,820.30018,5002.377,916.792985,1469.54255,1270.8867,2845.72555,697.90092,1179.786625,1320.10192,931.74795
46359,154.990345,13.958116,,,,3,,,,,,,487273.295,206910.81,307875.39,332655.175,256095.125,493527.18,422579.455,453220.64,523894.065,766972.32,714505.075,748015.975,716304.2,573374.725,524447.61,871593.4,942828.2,865092.1,559306.2
46612,155.0702199,15.465267,,,,,,,,,,,11291.7835,8088.970125,8567.3742,2353.4574,2264.33415,12347.06525,5806.7362,7220.1365,14626.21975,8299.377,11368.6283,42005.341,19030.166,67417.055,57686.21,1793.82445,19045.1025,31027.686,84761.6115
46364,155.07025,13.99337,,,,3,,,,,,,50162.965,42793.5,24828.951,24967.136,17543.7975,55114.0645,23409.3075,18017.126,48587.0535,213241.415,64400.121,177529.135,208322.625,238462.35,240709.76,50370.0945,51431.412,199335.1,124950.275
18,155.0702574,0.33326352,,,,,,,,,,,199537.72,25556.23,54711.715,37421.035,65537.9435,45246.5775,105001.015,52520.61,0,0,0,0,192006.4,0,0,94333.53275,146403.658,0,613837.24
5025,155.0703164,2.331353,,,,123,,,,,,,51338.267,48813.524,58670.035,29265.0665,44330.5505,66082.646,24877.742,14902.2465,81468.795,201781.3,31481.457,168509.1,194440.585,199554.905,219192.155,127295.2075,90495.6225,222832.15,140930.98
14409,155.0703184,5.4749236,,,,2209,,,,,,,7572.123,15471.598,64063.732,11899.5955,34516.621,27203.95,1687.8381,6052.27665,42952.453,18522.287,9823.445,17824.556,23123.9595,197352.31,105150.5325,21056.44,16555.8625,34918.695,48932.052
12224,155.0703764,4.6578584,,,,,,,,,,,22896.6025,21097.5475,38593.078,18184.0637,93851.235,52349.21,6340.38645,8326.726,97047.3525,22042.5745,11549.8,26201.135,29108.459,181142.375,95396.95,15781.2315,12369.4595,28837.1915,56567.239
23291,155.0855494,8.444305,,,,783,,,,,,,328782.155,412606.705,337052.03,0,4499.44115,1430.3625,690.5686,109.087235,54900.9425,27963.2215,471.276825,37944.7165,107247.67,156719.91,105851.445,143.11621,0,0,116597.882
21645,155.0855664,8.0476265,,,,783,,,,,,,241743.6,509447.31,171940.5,0,0,0,1480.34115,0,88573.482,82611.888,1825.00375,65425.8885,385774.78,168976.1,168496.325,780.44617,0,513.4085,177185.215
7112,155.1067556,3.1403415,,,,1694,717,[M+H]+,,1,7052,154.0995,8351.0762,3765.0318,2643.66745,0,0,0,634.56924,300.93329,2840.6455,6770.29625,561.550065,8117.763,12802.379,12696.2015,10128.95,4177.38975,7756.2758,11893.5915,5385.2765
6579,155.1068018,2.973324,,,,,,,,,,,19560.505,69512.33,5077.3103,0,0,0,104.7646,0,235.51341,1646.9492,79.07602,2287.6247,5909.64075,1267.0808,6029.6385,342.81781,1448.514325,1196.34755,4454.08395
117,156.0420997,0.6916082,,,,1794,,,,,,,50375.935,40332.8965,124397.955,42184.953,57353.136,33650.0515,30194.646,40993.33,37899.7825,40811.574,40649.0705,49952.5705,35562.125,38557.822,28339.6995,40583.99,40326.019,37796.3205,39200.45
871,156.0421056,0.86099845,,,,,,,,,,,26269.3255,182044.79,63146.951,135259.615,59330.8395,5432.4433,87838.305,108409.98,12419.2655,25012.705,162323.63,6205.3013,14531.59525,12646.754,11751.8405,36593.75665,870446.95,9750.3832,20642.402
6637,156.1384719,2.994695,,,,1335,,,,,,,0,0,0,77063.085,357234.7,515431.595,10101.2015,2391.11195,52738.4185,2007.6346,1387.0128,2633.1112,6428.65,12335.71,23734.567,1733.51735,976.207025,871.3128,63547
20082,157.1013138,7.6694694,,,,783,,,,,,,144383.465,172604.355,159373.905,0,0,0,502.99658,0,20267.56,25260.912,614.487785,29040.1075,136269.6625,128859.835,135189.1525,2076.37907,187.497575,333.53255,37721.252
17103,157.1013252,6.5992613,,,,1618,,,,,,,217061.39,254839.72,238526.44,0,0,3286.25735,382.37109,529.578315,20758.043,30938.6705,1744.55865,31019.324,129676.5075,112675.91,79517.9675,545.138705,316.49469,1009.282325,58331.788
15785,158.1540084,6.1173863,,,,,,,,,,,749719.425,1028055.95,863985.125,128136.545,568114.5,598393.43,112423,145212.225,343494.864,686546.175,150369.485,262317.345,1144737.75,1209858.25,1215821.75,100878.04,265417.9,470489.97,700295.85
12951,158.1540985,4.8748574,,,,1716,,,,,,,0,1764.78565,0,146733.85,1050763.35,769778.22,2708.5681,3669.82985,9895.6865,4627.5195,4908.7085,4483.44865,0,0,0,6376.91085,5117.57085,6785.043,142798.585
525,158.9640922,0.76206046,,,,1794,161,[M+Na]+,,3,525;453;612,135.97479,324682.9,44060.8825,58854.8375,25955.2235,28958.143,0,24162.1005,12522.221,0,0,3350.80945,38501.467,0,0,0,0,0,0,0
25399,159.0206688,8.951056,,,,1512,,,,,,,0,0,0,0,0,0,18601.3415,0,6401.92895,445808.515,7246.9865,394352.26,191004.93,139536.627,231548.155,269060.66,183269.22,573965.25,137247.99
31708,159.0652102,10.599309,,,,,,,,,,,252249.945,81481.865,346777.85,79909.0525,291451.75,763008.075,111823.5975,562.96145,547976.14,449740.875,10422.4085,584228.31,215571.82,1069961.1,263891.93,559325.635,511447.34,589192.55,510246.71
13033,159.0653381,4.9260793,,,,,,,,,,,0,0,106561.76,0,0,3115.4791,0,320.843475,54660.84,30579.7425,0,3112.655,0,36862.2735,0,25283.263,5386.3903,6988.31965,13842.85175
23236,159.1169335,8.435942,,,,783,,,,,,,831385.1,1097629.13,935380,9570.545,24886.2415,27228.7985,3171.66795,2982.0736,241046.855,58659.2335,3625.3456,72803.3945,209393.365,239963.36,193670.065,5263.26205,2461.6372,8479.9635,291738.31
27293,159.1169527,9.445994,,,,1797,,,,,,,184989.6,282328.64,301038.72,5025.58715,7121.842,5163.93825,566.30115,1598.40485,61154.967,33874.2365,1140.7433,33169.882,184762.3,149595.065,99146.475,6873.88,794.52285,1557.04125,103060.265
22389,159.1169544,8.236763,,,,783,,,,,,,402038.125,652094.57,467549.31,6038.05265,19612.22365,15208.5405,6539.5989,3438.8619,749066.75,53194.789,4052.5704,57415.828,839293.05,565262.55,304149.595,7177.0556,3079.29265,6533.2473,343177.92
21844,159.1169552,8.08051,,,,783,,,,,,,342643.955,401031.29,254421.665,9789.104,5971.6558,13152.31035,3832.4409,1691.31245,59613.9875,18423.9375,2679.3827,22949.542,204378.135,158036.89,156165.075,5642.1047,2090.1066,3218.3473,108124.8
1337,160.0604412,1.0154665,,,,1689,,,,,,,633513.57,660.62185,339617.51,29101.8425,5135.63315,4005309.4,0,0,4415544.25,3418953,87159.7795,3386492.15,2771010.8,3852394,5046687.5,3400600.4,1283454.75,4914431.25,4276131.25
1540,160.0604484,1.107659,,,,1689,,,,,,,900563.25,490.116865,771742.4,7478.64565,1963.0221,2116754.2,0,0,2371574.35,1813393.8,49054.057,1884752.15,3084840.85,2112876,2804417.25,1534624.95,4810293,2685733.4,2262041.75
2548,160.0605628,1.5712746,,,,1757,,,,,,,206602.35,0,45063.67,0,0,739163.5,0,0,859507.05,581109.425,2886.38085,782919.4,756456.825,719954.025,1027059.4,665720.77,484328.125,1329412.4,695374.88
10549,161.0598826,4.165183,,,,735,,,,,,,168129.37,148977.835,129039.892,2746.17065,22214.3455,27214.374,2972.41995,1578.11805,30098.491,88706.52,4101.30025,62271.5415,121972.865,124016.7725,94334.985,7753.602,5439.3225,10397.201,63674.7885
46645,161.0821079,15.521294,,,,,,,,,,,315194.49,34168.885,412560.77,238041.97,194429.12,245019.795,266920.88,411629.955,262438.78,29844.085,197156.375,185517.0275,166042.1025,323764.46,242328.06,0,399606.265,205696.025,418886.5
46597,161.0821126,15.457769,,,,,,,,,,,193096.89,229057.655,206813.805,49815.5625,194918.92,53703.96,266902.94,163007.36,88502.33,370488.89,277236.4,213236.35,194306.7735,180225.7695,78923.525,372398.625,139323.373,62921.43,230731.975
46589,161.0821595,15.365891,,,,,,,,,,,100952.01,250503.695,16797.767,249048.9415,431787.375,235431.489,230669.2775,11316.8605,204653.2375,397668.95,228158.55,264836.1385,232844.02,30156.159,207911.514,306969.705,15911.485,250604.8635,13824.849
18212,161.0962015,6.9424253,,,,1614,,,,,,,86232.055,56137.669,57494.6875,74467.6075,346435.265,211335.75,5745.2567,4536.8165,20605.6005,34595.424,7158.93505,28420.847,86918.91,91718.96,88710.5975,10488.1025,8888.0615,17437.636,65670.3725
10646,161.0962681,4.184887,,,,1659,,,,,,,57301.1265,44079.051,39672.0115,5982.36905,6948.4318,21645.3205,6238.48295,5672.5501,8182.60875,63608.001,7788.0523,51463.66,109516.053,76615.005,117993.12,11574.12265,9375.20515,14992.733,51818.0605
14418,161.1325866,5.469456,,,,,,,,,,,98532.1025,62363.1365,48336.822,17460.053,225706.43,97414.4475,11473.258,10093.249,218189.255,142016.845,12282.9,184364.815,476474.235,137762.905,142711.5275,17877.288,13592.7225,33119.96,158625.6
1848,162.0663162,1.3177549,,,,2028,,,,,,,0,4615.607,3358.33175,13726.52,57729.412,50588.048,0,0,0,0,0,0,0,0,0,0,0,0,1121.48315
104,162.998222,0.5855438,,,,,,,,,,,13969.9425,12876.2945,6177.69025,13445.5935,13927.9975,5661.369,7781.626,9931.4265,9864.158,7798.8847,7065.5905,14057.977,12852.926,7885.98485,7945.191,8217.7195,8652.2902,8064.3005,11956.478
46547,163.0389367,14.071832,,,,766,,,,,,,10418.234,8490.9505,5302.21945,2959.38035,5769.593,12852.805,6921.81595,5633.93935,14073.034,28106.3065,13380.454,18468.5275,21907.4685,26463.3915,25237.3085,39522.2673,11744.363,54785.929,13038.6455
46635,163.0389368,15.48292,,,,1499,,,,,,,14532.8185,11026.4755,8635.7925,6143.58745,8308.606,14192.456,9114.097,4107.72075,19967.883,23108.606,26478.104,45819.1285,44059.4695,49353.601,40664.1885,13677.562,29202.517,58969.818,27823.212
46561,163.0389986,15.342884,,,,31,,,,,,,5222.28915,4187.6091,2721.6738,6099.89355,5485.6587,14898.098,5123.44355,2395.48295,17355.885,60424.26,17771.71,35162.602,20775.296,40719.3955,41327.353,58656.5805,5302.6658,55536.7225,8255.41165
32,163.0390504,0.3299438,,,,,,,,,,,7055.2065,2003.00075,9079.47,6499.61425,5386.75475,4569.29555,6595.647,7300.4503,3709.4104,0,0,0,0,0,16337.715,4903.06965,22217.9262,0,8131.4935
14071,163.0390896,5.295709,,,,,,,,,,,170132.29,176379.2,125700.943,15865.7985,72709.5,169031.33,5262.90415,4627.50355,332226.1,718237.725,8159.9995,17200.3795,300437.405,428500.13,376112.48,117548.4165,99004.405,269739.86,253040.36
8330,163.0391312,3.548033,,,,1134,,,,,,,220805.79,146729.76,137700.6,7951.91935,21401.559,36135.605,9776.8555,3606.7461,65325.998,89893.685,8692.2102,76890.705,160605.38,148275.84,145462.32,5166.905,4796.69835,10125.9895,86328.155
4600,163.039138,2.1973348,,,,197,,,,,,,93001.1,109490.2775,50453.55,6167.533,16198.754,46039.7735,3679.59815,3282.14695,63100.437,8549.5375,6055.4065,5201.2814,8962.6,10589.7555,13400.784,4280.1598,4910.37555,8844.986,24328.991
4982,163.0391457,2.31107,,,,,,,,,,,327137.31,41830.058,13118.11,1795.2926,0,9936.3713,4748.619,1619.0814,5982.79495,4710.6547,6265.109,3117.3109,7420.8065,7468.3441,14932.059,2566.677,1731.44738,2474.5451,19237.345
24969,163.0754248,8.835457,,,,609,,,,,,,629663.725,864522.53,181124.625,79218.08,214137.02,221031.245,24377.213,6062.3347,185950.56,907816.72,12747.465,348548.515,153764.835,217588.58,256535.9,74742.7955,52274.921,101662.9225,320161.065
14559,163.0754352,5.5495124,,,,,,,,,,,26303.356,24360.01,20391.579,8127.99,25043.8545,21765.571,2870.2157,5376.9995,27492.3405,61363.215,5516.13035,20638.3665,25554.67,43649.1385,41627.189,11207.9889,5230.70035,27178.6635,25531.8585
14852,163.0754479,5.69001,,,,1834,,,,,,,208090.09,207563.985,126378.342,19704.7605,89081.128,46801.255,5272.10495,5538.87915,58413.816,90123.47,5822.16665,45051.11,73382.03,81672.393,103312.1025,15204.317,12578.046,19514.6605,79744.975
5599,163.0754903,2.6001189,,,,1008,,,,,,,356970.86,272412.53,106653.35,5469.17735,6487.565,14727.734,6050.0615,5163.2515,6497.4255,7352.72285,3158.14525,6409.1245,37410.6855,31281.07,72891.28,3131.74365,3961.335,2991.3785,42044.5465
7728,163.0754928,3.3721895,,,,1408,,,,,,,84365.315,96746.2225,28348.288,2687.3623,3114.9145,5260.5984,4210.3822,4182.4609,26753.6015,21054.532,6402.64615,14488.27,89064.527,91709.96,237428.02,5460.4148,4888.3208,6018.21995,53364.288
6951,163.0754935,3.093214,,,,281,,,,,,,101645.607,130952.585,30518.9305,3862.5379,3275.18115,6741.318,5923.29955,4522.0632,18517.9825,11030.6925,5234.9233,10770.87875,84290.983,78915.44,102721.81,3819.68035,5117.34335,2379.0739,37722.534
6448,163.0754961,2.896257,,,,1796,,,,,,,346543.64,221801.85,61913.825,2742.05395,7556.7793,13765.1448,5163.69385,3581.6295,25150.9445,13535.474,6376.8137,11869.68,156777.6,112738.82,245940.845,8848.42825,5287.038,8099.71685,73209.7425
6175,163.0754992,2.8258176,,,,1320,,,,,,,137978.8175,139951.71,40394.1415,6398.0245,4066.005,11719.8405,5805.3335,5757.86975,20406.8125,23109.4715,5002.81725,16165.071,84040.135,76577.119,149159.02,5000.51405,5365.302,3253.0354,39310.834
8339,163.0755113,3.5485756,,,,,,,,,,,97156.93,127390.895,22010.459,46275.658,108393.84,97834.5,5246.1328,4694.66335,12078.7205,8559.367,4656.02135,9340.10625,106222,111231.047,168207.57,4038.2167,5315.3737,7620.9099,103608.35
13251,163.1119109,4.992092,,,,,,,,,,,134453.035,207066.815,185946.215,17975.596,45673.256,69239.9125,6874.6006,7901.2488,15826.793,49589.578,8410.7065,41535.756,90168.6,154371.32,177160.18,15738.68125,10508.594,11119.214,82681.6095
14492,163.1481528,5.4997973,,,,153,1052,[M-H2O+H]+,,1,14486,180.15142,135715.71,98464.043,54902.705,64431.701,488362.24,348520.11,61539.8965,11528.586,541562.08,199545.11,15886.483,227618.77,464345.92,391425.75,455771.57,12378.12865,9436.1265,14769.843,291496.545
20205,163.148216,7.699495,,,,783,,,,,,,123492.0775,94862.545,92806.195,1607.7821,8866.8623,21391.3,2388.9815,876.79093,24532.7445,41193.084,1474.11435,41786.9675,171367.96,166131.07,149002.43,8796.83425,9791.8633,21807.5415,68429.41
13293,163.1482511,5.0086417,,,,168,998,[M-H2O+H]+,,1,13295,180.15154,59502.9615,67081.8,30163.125,30240.7185,325500.735,219752.97,38591.558,6015.84695,442275.265,117941.75,9506.409,149980.85,405549.115,248475.18,349936.68,4561.96865,3094.0751,6663.23,157363.025
46323,163.9907546,13.938852,,,,3,,,,,,,202829.715,77927.872,106798.9225,140292.89,131689.31,270896.01,190362.15,160793.53,246776.185,350265.31,290790.525,330634.33,326828.25,254791.13,286408.7,415768.64,384242.545,373777.5,263826.355
7188,164.0706742,3.1905565,,,,257,,,,,,,0,897.09155,0,154538.36,607058.095,313905.47,0,0,0,0,88.48539,0,0,0,0,0,0,0,61156.977
8394,164.0707646,3.5735958,,,,,,,,,,,1206.13625,3731.95425,2665.1921,74921.415,627572.23,233969.3,0,47.51704,3398.25745,4068.8206,0,2437.82835,0,0,0,0,0,281.23285,32474.069
2840,164.1071699,1.6780114,,,,,,,,,,,4747.9708,12799.5425,3102.8606,7914.8925,3480.6591,997.8751,6379.139,3883.1703,0,0,7853.3975,0,0,0,0,0,0,0,0
5214,165.0911869,2.3970711,,,,1110,,,,,,,95768.62,74980.295,39426.3555,911.1296,1366.69225,3152.70665,3776.17275,4251.2665,8307.574,32609.467,3717.2075,35744.435,82970.43,76359.795,129389.325,4581.8704,3377.42325,3998.9885,49129.3875
5909,165.091204,2.6829612,,,,74,,,,,,,88047.7675,73495.6965,31334.2955,2627.166,3903.0005,9172.174,3970.86765,3505.4315,35951.3785,22474.611,4305.15295,20991.3205,89558.95,106454.97,234572.625,2449.0459,4315.00415,2747.30285,54176.8115
8491,165.0912123,3.601942,,,,453,,,,,,,74140.523,110943.33,53449.375,2280.1152,5860.423,9985.5615,3209.4769,2838.771,20261.8835,47678.193,5678.984,55604.831,325101.7,137307.9525,222334.345,6543.3855,4336.40015,9864.808,60027.997
4698,165.091249,2.2176454,,,,354,,,,,,,138610.81,208873.745,22163.504,0,1295.2628,0,2340.4054,3610.5641,1926.1974,11548.4365,4247.90775,11747.042,32603.4275,28608.547,55106.458,3665.144,3906.0281,2047.7837,32479.025
12413,165.1276232,4.7073655,,,,1958,,,,,,,93019.2345,53330.5955,31091.074,5330.4943,95270.61,60240.9475,3531.3757,1033.099525,85958.15,99142.425,3816.31665,145415.185,84517.66,52837.444,143307.935,14016.58175,16134.402,32985.9595,87154.415
46381,165.9831881,13.968863,,,,3,,,,,,,115553.988,43431.739,53552.4415,60780.53,35114.5775,76472.9335,73400.08,100332.641,93078.845,175052.95,163722.295,179062.61,171891.32,144122.62,140989.68,149821.68,182776.85,169950.265,139814.68
46255,165.9911978,13.927159,,,,,,,,,,,83705.275,91315.385,93515.002,81273.34,97746.447,104918.55,102242.715,111763.755,95973.85,76473.426,119477.215,124614.2625,128510.67,93516.1525,110427.575,121821.365,137778.21,130884.54,92215.0875
20093,167.0704117,7.668371,,,,,,,,,,,17976.9775,42735.177,40266.695,11484.337,13026.5315,20400.615,15555.746,16020.9285,22298.669,13346.784,16441.542,10411.2465,16072.678,15749.0625,15094.045,14629.8965,17786.361,13609.511,21210.641
3162,167.0731007,1.7678185,,,,343,,,,,,,0,0,0,23289.413,73235.317,62680.89,0,0,13219.047,0,0,0,0,0,0,0,0,0,9219.48285
9045,167.1068388,3.7737238,,,,2274,,,,,,,115871.915,64223.1895,77850.055,3867.99025,13711.837,14746.52,1480.87095,1574.474,45438.398,131318.02,4396.1011,157017.53,78889.005,61011.141,79367.538,13780.67825,6034.29375,16815.3245,45649.084
7335,167.106853,3.2231147,,,,148,,,,,,,50237.8285,64070.1135,14854.631,0,2253.0695,3617.39015,1246.87785,1925.58795,7111.36725,31780.468,3481.7892,33709.559,103247.81,108031.58,178602.5,2905.86735,3139.16165,4259.53755,52413.7655
7903,167.1068687,3.4361262,,,,1408,,,,,,,96780.435,56716.289,39863.721,2394.68775,9381.433,10129.992,1239.0652,2256.4278,53097.5095,73136.245,4668.6246,70291.4825,98072.295,79370.03,144597.845,9462.1498,7461.6975,16281.271,53045.032
21136,167.143166,7.9274645,,,,1099,,,,,,,53949.497,73556.02,104033.657,140857.695,79695.9,91092.68,58618.504,68166.115,59095.65,167182.505,73419.1955,114569.5675,66254.132,30745.2425,51623.333,101682.6085,90199.71,92720.055,69282.055
22179,167.1432569,8.166869,,,,,,,,,,,27270.9045,29766.5845,30444.0895,36983.7915,20568.376,28749.042,10459.707,12140.4505,16262.994,43107.642,12795.764,50025.498,13583.8005,3675.5225,2493.9673,24780.2175,17725.8145,18785.01,24615.702
1461,168.013528,1.0770432,,,,,,,,,,,0,1759.66665,0,2699.4148,0,0,14022.1085,14818.2265,0,0,471.75882,0,0,0,0,0,0,0,0
974,168.0135784,0.89192045,,,,,,,,,,,0,395.60325,0,2990.5121,560.271965,0,24732.079,14556.3,0,0,1151.937,0,0,0,0,0,0,0,0
7530,168.0575695,3.2875664,,,,1408,,,,,,,377079.295,230472.8,268920.085,1552648.8,5287188,3426725,275.70049,394.27911,241323.51,20096.951,2726.67105,25083.7145,0,9012.045,0,1722.21855,592.727625,555.3164,742155.375
46241,168.1384326,13.876834,,,,,,,,,,,13620.462,8192.3155,11822.2755,18255.1915,9756.2218,13854.3985,22221.1095,25921.9955,12377.2535,22812.771,23273.494,17655.1485,22117.9285,12010.793,17484.855,30785.6515,26161.6005,21884.121,16440.705
11096,169.0497706,4.322578,,,,,,,,,,,117135.285,50544.4465,33351.62,3874.4587,14988.2465,9209.842,117.7413,55.996125,12299.1155,112698.045,236.126235,61563.48,45747.8875,25726.622,44933.3825,140.83798,89.296905,129.98163,32663.388
5147,169.0762111,2.4130983,,,,,,,,,,,5005.89085,18157.8615,15679.094,6020.091,17586.7295,9550.747,0,0,9779.058,41957.2225,1330.87375,23600.7205,5532.6465,10179.311,6304.17135,2100.86635,419.55475,1051.23848,14305.6355
5187,169.0860837,2.3974679,,,,,,,,,,,50854.445,20841.97,18726.07,3757.49195,4281.77955,9761.532,3879.8905,1339.1467,21483.508,76519.6475,2957.30685,73163.965,32898.367,31625.504,11985.3885,3126.1892,1264.8429,2809.1405,24563.5065
22393,169.1012952,8.229079,,,,783,,,,,,,163389.665,235674.42,169787.545,0,0,1090.8816,1818.19285,317.83914,272524.93,15997.46,178.55713,17112.8115,304671.14,255128.505,148284.855,0,0,0,129822.645
46372,169.9775352,13.964728,,,,3,2598,[M-H2O+NH4]+,,2,46372;46414,169.95411,74136.395,19810.539,33322.953,40623.2765,27813.585,64478.1115,55393.923,53905.461,63484.575,131736.87,135098.39,132061.07,122068.3575,104803.123,93630.85,154457.765,160655.54,155469.003,91136.8025
6616,170.1177336,2.9634948,,,,1848,683,[M+NH4]+,,2,6619;6616,152.08387,19374.749,11068.799,7472.71975,1145.1835,5742.51955,25780.428,3159.9818,276.746275,18669.8075,15221.8225,1649.3623,16495.025,16314.164,29677.07,42243.879,5792.3116,4637.70465,9739.5645,15025.705
