row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,A11.mzML Peak area,A16_2.mzML Peak area,A8_2.mzML Peak area,A11_2.mzML Peak area,A8.mzML Peak area,A7.mzML Peak area,A17.mzML Peak area,A17_2.mzML Peak area,A7_2.mzML Peak area,A14.mzML Peak area,A18.mzML Peak area,A14_2.mzML Peak area,A10.mzML Peak area,A18_2.mzML Peak area,A15.mzML Peak area,A15_2.mzML Peak area,A12.mzML Peak area,A12_2.mzML Peak area,A16.mzML Peak area,A10_2.mzML Peak area,A13_2.mzML Peak area,A13.mzML Peak area,pooled_QC_1.mzML Peak area,pooled_QC_2.mzML Peak area,A4.mzML Peak area,A2.mzML Peak area,A2_2.mzML Peak area,A4_2.mzML Peak area,A3.mzML Peak area,A1_2.mzML Peak area,A3_2.mzML Peak area,A1.mzML Peak area,A6.mzML Peak area,A6_2.mzML Peak area,A5_2.mzML Peak area,A9_2.mzML Peak area,A5.mzML Peak area,A9.mzML Peak area
46218,153.1386653,13.871574,,,,2190,,,,,,,574454.06,398278.2,269258.9,358190.28,449917.53,439386.34,632395.25,399996.3,352263.72,272711.56,665864.4,273826.25,535857.6,404514.9,335667.38,306678.25,486407.3,298445.66,755986.06,352728.47,333273.44,441703.34,333678.06,213634.64,529524.25,291964.94,273148.3,295482.78,316214.12,320179.5,188406.75,376070.1,481920.4,266355.28,239814.33,267604.72,398256.28,306699.94
10327,154.122758,4.1128902,,,,453,,,,,,,303.4844,382.13995,962.3499,231.99155,1027.1396,326.49792,1092.3171,1267.9264,339.24857,0,2453.022,0,1336.2075,1530.8278,0,0,2354.8643,1529.5767,2835.8596,2254.044,0,0,187583.6,234650.28,301702.62,38847.203,34645.645,287257.94,29001.139,14356.369,26496.04,15638.731,1095026.9,1056721.4,1520612,11844.34,1649323.5,17056.426
8934,154.122763,3.7292945,,,,,,,,,,,196.35245,1868.6274,709.6404,0,494.35666,774.21893,2380.6077,2174.7903,643.35394,0,5352.8096,1292.2269,1910.092,5790.2603,0,0,2844.956,3998.9973,5748.3374,1155.0806,0,0,113142.05,141744.86,217373.42,2511.3933,4630.6914,242491.72,1920.6125,1802.7764,0,0,530838.3,581591.06,854361.1,6041.0474,819882.06,6094.695
130,154.9074847,0.6794999,,,,1794,0,[M-H+2Na]+,,2,130;188,109.9368,5301.312,877.95984,0,4703.442,0,0,1428.4231,931.15015,0,1152.8049,1685.8206,1388.9685,1039.6216,954.38324,3503.2856,2188.1655,1306.4299,527.15607,517.842,600.97876,1401.8481,1537.237,555.2725,1308.2234,12167.349,132623.69,121546.63,3118.3047,8463.355,399.16788,5382.917,874.7999,786.73737,3771.7734,28056.7,1474.5195,20594.766,3065.5974
46359,154.990345,13.958116,,,,3,,,,,,,803769.4,588057,426812.72,625240.75,479628.56,487606.75,1219794.4,665862,357552.16,638679.75,1068535.8,508069.7,894896.7,661648.4,509590.28,539304.94,887352.25,608679.7,1155129.8,639047.94,602309.3,830299.1,569215.4,549397,368240.1,189246.78,224574.84,297070.25,307398.72,521022.34,308352.06,453524.25,485326.3,501728.06,244522,502579.38,267668.25,545208.75
46612,155.0702199,15.465267,,,,,,,,,,,18999.29,855.2915,8497.771,3737.9666,5942.502,7911.6963,23025.92,15064.285,3701.7761,72968.71,48326.4,61865.4,0,13728.972,17583.26,97789.16,73505.13,10505.552,2732.3574,16598.754,0,38060.332,29280.023,140243.2,3659.9324,15370.279,807.66125,1046.9824,6961.0054,2474.657,10173.743,20108.91,19507.57,5186.5605,1970.888,24921.94,2557.7803,4330.4995
46364,155.07025,13.99337,,,,3,,,,,,,60233.117,27902.064,15229.279,68567.125,20804.973,15770.705,73935.07,28927.754,31047.91,244238.23,229531.92,232686.47,228466.83,169138.28,236051.8,245367.72,173410.19,181648.08,72838.125,198016,207694.14,208951.11,112092.11,137808.44,22513.37,39847.16,45739.84,27420.902,13792.652,65843.125,35865.25,34482.805,51961.125,58267.004,18307.79,26741.967,16779.805,70432.14
18,155.0702574,0.33326352,,,,,,,,,,,0,188034.56,105041.22,0,0,0,205454.05,87353.266,210002.03,0,0,0,0,0,0,0,0,0,632.5055,0,0,384012.8,389436.88,838237.6,0,0,51112.46,74842.07,109423.43,0,0,399075.44,40195.945,50297.21,72190.84,0,58885.047,0
5025,155.0703164,2.331353,,,,123,,,,,,,24642.547,41627.895,18172.469,38320.367,11632.024,20889.752,79081.37,101909.875,28865.732,193148.33,224860.55,205961.48,188146.3,220803.75,214307,224077.31,176161.6,160856.6,212962.52,215416.3,243591.33,145289.84,127375.9,154486.06,30715.375,45683.63,51943.418,27814.758,54684.71,69732.984,62655.36,32943.55,68749.98,63415.312,48838.777,80083.28,39822.324,82854.31
14409,155.0703184,5.4749236,,,,2209,,,,,,,8694.307,11812.08,4770.92,10952.583,7333.6333,2013.4125,14848.235,18263.49,1362.2637,180247.52,33482.03,214457.1,16424.564,36355.36,93320.555,116980.51,8680.139,26968.973,30300.8,20620.01,24387.03,21860.889,52774.234,45089.87,18104.889,6810.61,24132.586,5694.302,61057.734,5623.7,67069.73,9520.546,18284.91,36122.99,35430.457,31991.686,33602.785,53913.22
12224,155.0703764,4.6578584,,,,,,,,,,,7587.022,10934.113,8807.804,15512.578,7845.648,5456.3154,9586.199,15152.72,7224.4575,172789.02,24389.797,189495.73,13481.34,33284.586,86030.56,104763.34,20464.97,31937.3,20628.35,30603.809,31209.531,27007.387,42457.688,70676.79,28316.229,19579.37,22615.725,8051.8984,44029.75,19515.826,33156.406,26277.379,41908.42,62790,88309.67,91721.945,99392.8,102372.76
23291,155.0855494,8.444305,,,,783,,,,,,,501.8205,286.23242,218.17447,440.73315,0,614.0713,0,0,767.0659,91377.54,0,222062.28,27843.375,0,144263.98,67438.91,38005.8,37883.633,0,28083.068,74490.81,140004.53,105242.734,127953.03,0,370107.75,455105.66,0,320596.84,327175.28,353507.22,330389.03,0,2860.725,4520.0527,46339.6,4478.8296,63462.285
21645,155.0855664,8.0476265,,,,783,,,,,,,1776.3123,284.22534,0,1873.6952,0,742.4909,0,0,2218.1914,183306.53,0,154645.67,83666.086,1026.817,192723.34,144269.31,61902.582,68949.195,1276.667,81557.69,385326.84,386222.72,160525.53,193844.9,0,469828.72,549065.9,0,167554.31,180209.6,176326.69,303277.6,0,0,0,112232.64,0,64914.324
7112,155.1067556,3.1403415,,,,1694,717,[M+H]+,,1,7052,154.0995,247.51843,1076.2268,298.3953,875.5817,303.47128,976.30804,6115.7646,9396.787,292.83044,13018.159,11603.842,12374.244,3727.8135,12183.341,13677.418,6580.482,5638.156,10597.37,7278.5527,9812.779,10599.709,15005.049,2922.47,7848.083,0,4706.569,2823.4946,0,1722.2314,8003.6274,3565.1035,8698.525,0,0,0,3419.497,0,2261.794
6579,155.1068018,2.973324,,,,,,,,,,,0,149.09058,0,158.15204,0,209.5292,512.84045,2384.1882,0,0,881.2586,2534.1616,1454.8198,1511.4365,5307.574,6751.703,1473.5894,3101.66,536.54504,1839.0786,9086.804,2732.4775,4059.0156,4849.1523,0,69864.42,69160.24,0,3539.6313,19926.031,6614.9893,19194.979,0,0,0,471.02682,0,0
117,156.0420997,0.6916082,,,,1794,,,,,,,49253.133,44507.44,42118.855,32045.008,39867.805,25939.512,38572.85,42079.188,34449.78,44608.367,40037.227,32507.277,43049.816,35555.414,27093.395,29586.004,42347.414,57557.727,36660.54,38573.332,30321.984,40802.266,38309.19,40091.71,35066.203,38786.996,41878.797,49303.703,117409.55,55391.13,131386.36,45360.74,34969.473,32330.63,67029.53,34672.62,47676.742,41126.945
871,156.0421056,0.86099845,,,,,,,,,,,171395.78,66398.92,105747.98,153251.48,111071.98,84051.56,1105489.6,635404.3,91625.05,11755.545,12126.95,13537.963,27458.379,7373.8164,8768.226,14735.455,5518.962,6891.6406,6788.5933,22567.031,13459.503,15603.6875,19022.79,22262.014,132471.2,183457.78,180631.8,138048.03,53797.402,30422.172,72496.5,22116.479,7130.933,3733.9536,62687.023,8452.179,55974.656,16386.352
6637,156.1384719,2.994695,,,,1335,,,,,,,1544.6926,2107.8633,2123.3367,1229.333,2658.8872,10954.456,991.91345,960.5006,9247.947,12675.139,922.9518,11996.281,2084.6704,819.6738,23052.904,24416.23,2799.7927,2466.4297,1359.1714,1930.5988,6343.701,6513.599,61796.203,65297.797,83483.39,0,0,70642.78,0,0,0,0,538119.25,492743.94,320543.12,52081.61,393926.28,53395.227
20082,157.1013138,7.6694694,,,,783,,,,,,,785.5266,728.17834,0,443.44897,0,1005.99316,374.99515,0,0,157308.28,667.0651,100411.39,23371.453,0,144519.25,125859.055,35738.67,22341.545,3424.5798,27150.371,110959.875,161579.45,30932.496,44510.008,0,204633.77,140574.94,0,190055.11,168118.39,128692.7,120648.54,0,0,0,21696.73,0,18838.39
17103,157.1013252,6.5992613,,,,1618,,,,,,,1319.6066,417.89655,610.05,2169.5107,449.10663,380.661,379.72748,253.2619,384.08118,117442.06,623.01935,107909.76,41118.64,1395.5453,96124.33,62911.605,32584.027,29454.621,672.38086,20758.701,123919.875,135433.14,72145.67,44517.906,0,259104.88,250574.56,0,236197.19,211384.75,240855.69,222738.03,3397.629,3174.8857,0,17225.938,0,24290.148
15785,158.1540084,6.1173863,,,,,,,,,,,147741.83,161821.34,143078.48,152997.14,147345.97,116326.94,286299.7,244536.1,108519.06,1124081.4,458117.6,1295635.1,702514.25,482862.34,1115402.1,1316241.4,498281.72,26352.97,39934.74,670578.1,1173728.9,1115746.6,714733.3,685858.4,123911.54,964130.1,1091981.8,132361.55,801328,744091.6,926642.25,755347.25,600612.06,596174.8,544005.5,16397.928,592223.5,670591.8
12951,158.1540985,4.8748574,,,,1716,,,,,,,5399.285,6569.204,4319.3027,4418.132,3020.357,2765.9194,2664.7847,7570.357,2651.2168,0,6597.029,0,4930.838,6973.057,0,0,4969.0767,3997.8206,6184.6177,4324.201,0,0,133944.48,151652.69,153743.47,0,3529.5713,139724.23,0,0,0,0,808770.44,730786,1027317.8,10439.428,1074208.9,9351.945
525,158.9640922,0.76206046,,,,1794,161,[M+Na]+,,3,525;453;612,135.97479,3608.6467,0,12410.192,3092.9722,12634.25,24105.066,0,0,24219.135,0,0,0,0,0,0,0,40796.86,36206.074,0,0,0,0,0,0,24304.855,42177.773,45943.992,27605.592,58447.152,320232.1,59262.523,329133.7,0,0,21464.066,0,36452.22,0
25399,159.0206688,8.951056,,,,1512,,,,,,,14493.973,79429.82,0,0,0,18009.322,181876.33,184662.11,19193.361,124126.734,543817.5,154946.52,431621.28,604113,169624.69,293471.62,345425.8,443278.72,458691.5,459995.75,185680.94,196328.92,167371.45,107124.53,0,0,0,0,0,0,0,0,0,0,0,6350.5166,0,6453.3413
31708,159.0652102,10.599309,,,,,,,,,,,12018.961,252371.27,0,8825.856,1125.9229,103037.445,512663.88,510230.8,120609.75,1071610.6,646908.5,1068311.6,476525.53,531476.6,263921.3,263862.56,548278.06,620178.56,866280,422956.22,256119.11,175024.53,489773.72,530719.7,75504.125,86636.24,76327.49,84313.98,336209.5,226179.95,357346.2,278319.94,744904.75,781111.4,320720.75,501725.88,262182.75,594226.4
13033,159.0653381,4.9260793,,,,,,,,,,,0,6712.838,415.62634,0,226.06061,0,5725.0806,5047.7,0,36449.184,7385.588,37275.363,29316.016,6591.0513,0,0,2465.165,3760.145,43853.688,31843.469,0,0,12876.4375,14809.266,0,0,0,0,110682.97,0,102440.55,0,2943.593,3287.3652,0,56625.57,0,52696.11
23236,159.1169335,8.435942,,,,783,,,,,,,1979.6882,2862.7927,2767.8677,5271.003,3196.2795,2971.4233,2155.6755,2767.5989,3371.9126,208408.56,7338.182,271518.16,53037.35,9621.745,212970.23,174369.9,64648.984,80957.805,7663.7314,64281.117,225247.62,193539.11,252757.34,330719.28,10807.41,1017305.06,1177953.2,8333.68,913434.5,838977.4,957325.5,823792.8,37884.707,16572.89,17868.613,218941.33,31903.87,263152.38
27293,159.1169527,9.445994,,,,1797,,,,,,,495.1043,1004.541,2238.4172,1786.3823,958.3925,0,689.6725,899.3732,1132.6023,169195.38,1527.3003,129994.75,22964.703,1586.7822,121462.53,76830.42,28290.504,38049.26,12743.219,44783.77,194240.72,175283.88,107268.69,98851.84,6515.655,288720.84,275936.44,3535.5193,317865.66,203129.64,284211.78,166849.56,5122.9785,5204.898,9064.63,82892,5179.054,39417.934
22389,159.1169544,8.236763,,,,783,,,,,,,3870.1138,3785.1682,3614.954,4235.027,3262.7698,7281.6333,1835.846,4322.7393,5797.5645,546968.5,6215.25,583556.6,56375.305,6851.2446,297564.94,310734.25,64111.016,50720.64,10568.943,50014.273,950569,728017.1,335379.94,350975.9,2702.3433,679025.44,625163.7,9373.762,373892.06,360079,561206.56,443997.25,16875.96,13541.121,7130.4653,726054.1,32093.982,772079.4
21844,159.1169552,8.08051,,,,783,,,,,,,2720.0806,2631.4924,1366.6023,2638.6848,2016.0226,4110.0063,2345.4526,1834.7606,3554.8755,183258.61,3798.6309,132815.17,23592.59,2638.0637,118434.34,193895.81,14757.549,31141.535,8652.717,13255.285,262665.3,146090.97,109980.86,106268.74,8756.877,309182.7,492879.88,10821.331,220620.36,346844.75,288222.97,338443.16,7005.5107,19299.11,6688.733,33414.53,5254.5786,85813.445
1337,160.0604412,1.0154665,,,,1689,,,,,,,64478.293,2655973.8,0,109841.266,0,0,1220284.4,1346625.1,0,3820485,4890486.5,3884303,3347317.5,4938376,5036068,5057307,3344694.8,3428289.5,4145227,3490588.5,1698068.4,3843953.2,4204625,4347637.5,22661.9,1321.2437,0,35541.785,325757.22,649873.94,353477.8,617153.2,3591067.8,4419551,6317.591,4372390.5,3953.6753,4458698
1540,160.0604484,1.107659,,,,1689,,,,,,,49112.727,686970.4,0,48995.387,0,0,4459026.5,5161559.5,0,2082990.8,2751712.8,2142761.2,1753477,2619754,2880764.5,2728070,1809959.4,1959544.9,2382279.5,1873310.6,4066786.5,2102895.2,2142334.5,2381749,8439.014,479.82556,500.40817,6518.2773,778072.2,853923.25,765412.6,947203.25,1885349.4,2348159,1112.3926,2416909.5,2813.6516,2326239.2
2548,160.0605628,1.5712746,,,,1757,,,,,,,1158.8707,138609.94,0,4613.891,0,0,476568.47,492087.78,0,761865.25,1195724,678042.8,569390.1,1463100.8,973442.3,1080676.5,754570.4,811268.4,1192831.6,592828.75,705971.75,806941.9,784903.56,605846.2,0,0,0,0,39043.11,185087.92,51084.23,228116.78,566965.7,911361.3,0,785811.1,0,933203
10549,161.0598826,4.165183,,,,735,,,,,,,4304.4897,2951.106,1027.6648,3898.1108,2128.5713,3027.4087,4773.691,6104.954,2917.4312,128161.875,10668.155,119871.67,83675.77,10126.247,81980.07,106689.9,62581.72,61961.363,12556.098,93737.27,125012.36,118933.37,70942.1,56407.477,5492.3413,150721.55,147234.12,0,133895.12,188655.14,124184.664,147603.6,30828.688,23600.06,18847.775,36570.73,25580.916,23626.252
46645,161.0821079,15.521294,,,,,,,,,,,324304.56,0,413568.03,70008.19,409691.88,449699.78,397982.97,401229.56,84141.98,329887.8,317588.6,317641.12,0,93803.45,72355.5,412300.62,314287.25,56746.805,0,59688.17,47296.605,284787.6,388550.6,449222.4,361856.34,0,68337.77,114227.6,414039.34,302902.78,411082.2,327486.2,391607.22,98432.37,290853.75,447841.1,98004.49,77036.46
46597,161.0821126,15.457769,,,,,,,,,,,172084.64,391779.47,188550.28,382388.16,137464.44,174521.1,92314.016,186332.73,359284.78,12927.789,125842.86,347523.75,374779.62,0,0,157847.05,47993.9,378478.8,353017.78,366198.16,360112.25,28501.297,256933.03,204530.92,17529.105,384527.12,73588.19,82102.02,248544.08,363914.88,165083.53,22278.9,107407.92,0,389837.84,177004.66,0,0
46589,161.0821595,15.365891,,,,,,,,,,,19839.76,408470.88,14065.834,436477.34,8567.887,18373.275,21773.307,10049.663,442965.28,36096.297,15525.697,24216.021,410379.28,485684.03,399001.03,16821.998,53721.477,475950.8,205468.53,384958.62,422194.84,43493.2,10624.568,17025.13,23954.633,98428.14,402579.25,474143.25,19923.646,179625.12,13671.888,22278.9,8750.758,462112.22,440288.47,26494.855,423286.28,382811.62
18212,161.0962015,6.9424253,,,,1614,,,,,,,7049.0176,8667.104,4901.288,7268.8525,4172.345,6790.0234,9149.865,8626.258,4700.49,102747.36,19155.807,80690.56,36952.86,15719.465,79271.07,98150.125,25909.385,30932.309,12309.101,32237.988,77608.09,96229.73,63479.645,67861.1,72529.875,51265.49,61009.848,76405.34,61017.07,98972.555,53972.305,73491.555,199666.55,223004.95,361676.75,20716.66,331193.78,20494.541
10646,161.0962681,4.184887,,,,1659,,,,,,,7677.131,7472.5723,5644.0312,7898.9736,5701.069,5524.9263,7652.5713,11097.839,6952.0396,76423.3,14804.641,76806.71,37508.492,15180.825,113703.55,122282.69,60186.812,42740.508,15675.673,89707.51,113787.27,105244.836,60507.863,43128.258,3609.1501,38942.86,49215.242,8355.588,38986.8,54198.28,40357.223,60403.973,12882.754,30407.887,7471.556,11376.051,6425.3076,4989.1665
14418,161.1325866,5.469456,,,,,,,,,,,13294.342,10105.553,9622.101,11271.458,10564.397,10182.271,10941.829,16243.616,12764.245,94990.83,27128.92,180534.98,151830.14,39111,77418.305,208004.75,181134.11,187595.52,25649.023,132203.55,493608.25,459340.22,184278.7,132972.5,10987.646,71113.55,53612.723,23932.46,45609.82,113090.9,51063.824,83973.305,161285.27,33543.625,303196.34,225231.73,148216.52,211146.78
1848,162.0663162,1.3177549,,,,2028,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2242.9663,12188.99,4846.414,4384.8,15264.05,3613.5217,0,3103.1418,0,49926.336,51249.76,57947.082,0,57511.742,0
104,162.998222,0.5855438,,,,,,,,,,,8771.803,5494.087,9466.79,5359.378,10396.063,8430.005,6694.0254,10610.555,7133.247,7615.0547,7070.249,8156.915,8436.348,9058.352,8149.251,7741.131,18689.938,9426.016,10941.352,7161.4214,17287.11,8418.742,9079.497,14833.459,8479.38,7473.809,18278.78,18411.807,7388.5645,9869.85,4966.816,18070.035,9339.215,1983.523,8787.597,9702.497,19068.398,10025.819
46547,163.0389367,14.071832,,,,766,,,,,,,14806.474,6249.6646,5088.6157,11954.434,6179.263,6697.6353,16217.342,7271.384,7145.9966,25728.525,80885.34,27198.258,31427.09,28686.518,26075.373,24399.244,19603.457,17333.598,72794.87,24785.523,22783.373,21031.564,16776.316,9300.975,4977.836,9315.338,7666.563,940.9247,4025.6572,8929.138,6578.7817,11907.33,13702.326,12003.284,4955.928,12920.061,6583.258,15226.007
46635,163.0389368,15.48292,,,,1499,,,,,,,41099.586,8693.128,6388.9937,11856.622,1826.4478,9094.609,47947.06,10457.974,9133.585,81199.87,99656.7,17507.332,23028.54,18282.936,27378.463,53949.914,70415.79,21222.467,18661.996,23188.672,22791.309,65327.63,15327.124,40319.3,4129.0396,12402.831,9650.12,8158.1353,9342.075,11755.674,7929.51,17309.963,16026.916,12357.996,7788.982,25853.182,8828.23,14082.584
46561,163.0389986,15.342884,,,,31,,,,,,,9152.725,5635.781,3744.8486,26390.695,1046.1173,1973.9711,4778.2266,5827.105,8272.916,4358.955,29208.465,77079.836,80950.8,81864.98,79475.79,3178.916,17621.688,52703.516,111677.38,39897.72,28663.191,12887.401,7513.5713,8997.252,7143.3364,3039.7407,5335.4775,5056.4507,2154.9692,5953.131,3288.3784,4491.4473,3729.284,26066.912,2595.0754,4200.29,8376.242,30511.48
