Replicate,Sample,Molecule,Total_Area,Sample_Type
5ppb_cal_pharmaceutical_mix_100ppb_IS_3,Unknown,Lamotrigine,70947,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_3_20240613063722,Unknown,Lamotrigine,57801,5
10ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Lamotrigine,144334,10
10ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Lamotrigine,142305,10
0_point_1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fluconazole,6393,0.1
0_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fluconazole,30658,0.5
1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fluconazole,65006,1
2_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fluconazole,144646,2.5
5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fluconazole,338542,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Fluconazole,421716,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_3,Unknown,Fluconazole,417562,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_3_20240613063722,Unknown,Fluconazole,421119,5
10ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fluconazole,899556,10
10ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Fluconazole,627758,10
0_point_1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Sulfamethizole-d4,2664139,0.1
0_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Sulfamethizole-d4,2761424,0.5
1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Sulfamethizole-d4,2870533,1
2_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Sulfamethizole-d4,3010664,2.5
5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Sulfamethizole-d4,3117184,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Sulfamethizole-d4,3852628,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_3,Unknown,Sulfamethizole-d4,3278677,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_3_20240613063722,Unknown,Sulfamethizole-d4,3281628,5
10ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Sulfamethizole-d4,2967877,10
10ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Sulfamethizole-d4,2027947,10
