filename,ATTRIBUTE_Sample_or_Blank,ATTRIBUTE_Sample_Type,ATTRIBUTE_Snow_Type,ATTRIBUTE_Sample_Month_Year_Collected,ATTRIBUTE_Day_Collected,ATTRIBUTE_Month_Collected,ATTRIBUTE_Year_Collected,Na_23,Mg_24,Al_27,P_31,K_39,V_51,Cr_52,Mn_55,Fe_56,Co_59,Ni_60,Cu_63,Zn_66,As_75,Se_78,Ag_107,Cd_114,Sb_121,Ba_138,Tl_205,Pb_208
BCl3_1.mzML,Sample,BCL,BCL,BCL_Oct_2022,18,Oct,2022,9.048956157,7.766498911,-0.440913287,3.286723159,7.2775933,-1.739417758,-2.463385237,2.39E-05,1.388945697,-3.499769054,-2.280528778,0.28246474,2.485613688,-0.765225266,-2.118009848,-5.902199482,-5.530635926,-2.726231158,4.168808969,-4.693239136,-3.546073622
BCl3_2.mzML,Sample,BCL,BCL,BCL_Oct_2022,18,Oct,2022,9.082568459,7.779672962,-0.497312322,3.497742185,7.295923905,-1.707448474,-2.520312553,-0.102502862,1.261697006,-3.461295897,-2.293690737,0.011668283,2.245027988,-0.714712032,-2.093020041,-5.877209675,-5.209380303,-2.626835183,4.203214126,-4.812498938,-3.461295897
BCl3_3.mzML,Sample,BCL,BCL,BCL_Oct_2022,18,Oct,2022,9.076884812,7.779679525,-0.541732533,3.21681161,7.351890608,-1.728194422,-2.533855526,-0.030123806,1.380462142,-3.565504027,-2.333952938,0.108213673,2.25678441,-0.750577871,-2.137440253,-5.921629887,-5.005339155,-2.803679981,4.165413877,-4.668866918,-3.31524334
BCl4_1.mzML,Sample,BCL,BCL,BCL_Mar_2023,30,Mar,2023,8.818682158,7.659441714,1.046891195,5.144265711,6.904485282,-1.737007139,-3.365114669,1.471866564,1.153596626,-3.487849153,-2.627383582,0.43047697,2.239054561,-1.163509293,-2.381250512,-6.165440146,-5.289971409,-2.901590956,3.406312431,-5.100729409,-4.055226946
BCl4_2.mzML,Sample,BCL,BCL,BCL_Mar_2023,30,Mar,2023,8.788899748,7.634574743,0.932740003,5.129138868,6.813589748,-1.586901046,-3.215040539,1.425688837,0.737575863,-3.408650056,-2.462469938,0.151199138,2.222883478,-1.214526256,-2.406380472,-6.190570106,-5.294482081,-2.510479158,3.420400371,-5.108764935,-3.85842621
BCl4_3.mzML,Sample,BCL,BCL,BCL_Mar_2023,30,Mar,2023,8.778027125,7.617804348,1.003218438,5.118087943,6.751027563,-1.61546017,-3.065138863,1.430336296,0.444702229,-3.427904545,-2.537014072,0.557141783,2.240700478,-1.206327256,-2.38777555,-6.171965184,-5.27587716,-2.923530557,3.419858347,-4.948189752,-3.801721443
BP1_1.mzML,Sample,BP,BP,BP_Feb_2023,27,Feb,2023,8.376930682,6.913478458,-1.512232082,4.518921153,6.617442029,-2.85125343,-3.800958139,1.647427854,1.456201155,-3.301813375,0.728514723,3.085180222,3.176445567,-1.66736449,-3.163073638,-6.947263272,-5.882552535,-3.171059989,3.004280843,-5.72348784,-1.503763895
BP1_2.mzML,Sample,BP,BP,BP_Feb_2023,27,Feb,2023,8.230831263,6.794176578,-1.139750647,4.447045284,6.386360673,-2.971829292,-4.152730975,1.715127695,1.39084614,-3.2190485,0.807779932,3.111432253,3.224077189,-1.660540972,-3.207619805,-6.991809439,-5.910004268,-3.112309625,2.958113126,-5.402574233,-1.297572377
BP2_1.mzML,Sample,BP,BP,BP_Jan_2023,6,Jan,2023,7.935487407,6.494159679,2.117894681,4.569324527,6.225229898,-2.782887492,-2.519534987,2.668078141,2.76483331,-2.441287039,-2.587371447,2.128889949,1.619011076,-1.9044241,-3.57598284,-6.278367304,-5.999195921,-3.670043801,2.872070114,-5.878567933,-1.757315918
BP2_2.mzML,Sample,BP,BP,BP_Jan_2023,6,Jan,2023,8.470983587,7.265686601,1.87581296,8.757633105,7.747369208,-3.256899764,-2.830905364,2.348741973,2.418030143,-2.685524455,-3.077522272,1.739603809,1.152665539,-2.44211179,-4.098173019,-6.658587221,-6.400758112,-4.308613506,2.442791387,-6.400758112,-2.059464697
NS1_1.mzML,Sample,NS,NS,NS_Feb_2023,21,Feb,2023,4.82922568,4.594613811,3.122706497,2.292690774,5.01638284,-2.672571587,-2.529470744,0.569118915,3.050594456,-3.365718768,-0.719362136,1.584494875,2.868088457,-2.780785172,-0.249358507,-4.033548141,-4.726695321,-0.694226163,0.755608882,-4.726695321,-2.185093328
NS1_2.mzML,Sample,NS,NS,NS_Feb_2023,21,Feb,2023,4.75520731,4.693429556,3.053851933,2.328545022,5.02350311,-2.496547036,-2.571448344,0.674177595,3.119173838,-3.179437717,-0.761339737,1.537602365,2.915329107,-2.822762773,-0.291336107,-4.075525741,-4.768672922,-1.394504213,0.777675712,-4.768672922,-1.748248036
NS1_3.mzML,Sample,NS,NS,NS_Feb_2023,21,Feb,2023,4.819672899,4.722465744,2.546752387,3.134628762,4.831202992,-3.136423748,-2.714151521,0.054958937,2.85584556,-3.846665362,-0.904042913,4.234575074,2.784336416,-2.96546595,-0.434039284,-4.218228918,-4.911376099,-0.808732734,0.70938702,-4.911376099,-1.843323164
NS1_4.mzML,Sample,NS,NS,NS_Feb_2023,21,Feb,2023,4.917857226,4.697464739,3.481234949,2.35703491,4.881594291,-2.208792151,-2.918468633,0.979906101,3.426972777,-3.074472882,-1.108360025,1.38108178,2.644731192,-3.169783061,-0.638356396,-4.42254603,-5.11569321,-1.656226921,0.983728478,-5.11569321,-0.323213926
NS1_5.mzML,Sample,NS,NS,NS_Feb_2023,21,Feb,2023,4.679208742,4.734945093,4.817564652,3.623577351,4.523261522,-1.299818609,-3.744096147,2.030386383,4.382937539,-2.011457801,-1.933987539,0.600286309,1.977744515,-3.995410576,-1.46398391,-5.248173544,-4.580344172,-2.784320304,2.273009072,-5.941320725,-0.640007849
NS1_6.mzML,Sample,NS,NS,NS_Feb_2023,21,Feb,2023,5.663503164,4.503183075,4.064873786,5.047971529,5.624075612,-1.95310321,-2.331612508,1.25448879,3.894109137,-1.518321016,-0.831087513,-0.875970729,-1.241010943,-3.507611461,-1.481279744,-4.597640006,-4.390000641,-2.167631882,1.403711402,-5.958616559,-0.602030284
NS4_1.mzML,Sample,NS,NS,NS_Dec_2022,23,Dec,2022,4.568708461,4.704730681,3.678203939,2.66982229,4.578671015,-1.649379141,-3.092368846,1.683668658,4.284841301,-2.319178958,-1.282260238,1.134951399,2.550916314,-3.343683274,-0.812256609,-4.596446243,-4.596446243,-1.982706721,1.04776314,-6.16186727,-1.065683657
NS4_2.mzML,Sample,NS,NS,NS_Dec_2022,23,Dec,2022,4.600430789,4.752129622,3.793779329,2.542747071,4.925777881,-1.697584237,-2.935825498,1.652879604,4.094756143,-2.289635301,-1.317255102,0.96066465,2.431778275,-3.378678138,-0.847251473,-4.631441107,-4.631441107,-1.83721321,1.011352096,-6.196862134,-1.003108153
NS5_1.mzML,Sample,NS,NS,NS_Mar_2022,30,Mar,2022,5.052641268,5.359728376,2.750597787,2.020350186,5.662610753,-2.447215523,-2.522116831,1.673580226,1.819377119,-2.447215523,-0.712008223,1.813720421,3.327336023,-2.773431259,-0.242004594,-4.026194228,-4.719341408,-1.978501384,0.941185558,-5.591615255,-2.961483491
NS5_2.mzML,Sample,NS,NS,NS_Mar_2022,30,Mar,2022,4.342375632,4.554445027,3.777506929,2.541430547,4.633320465,-2.519930083,-2.790805038,1.532444226,2.49605809,-2.438584444,0.395547596,2.150519874,3.132231954,-3.042119466,-0.5106928,-4.294882434,-4.988029615,-2.012500049,1.607614278,-5.860303461,-2.705647229
NS6_1.mzML,Sample,NS,NS,NS_Apr_2023,29,Apr,2023,5.303947165,5.166626953,3.302230545,3.097137212,5.079283581,-2.305986462,-2.515706993,2.286582134,2.144687639,-2.219726118,-0.705598385,-1.940342848,2.967752024,-2.767021422,-0.235594756,-4.01978439,-4.712931571,-1.486087576,1.766806196,-5.585205417,-2.621067509
NS6_2.mzML,Sample,NS,NS,NS_Apr_2023,29,Apr,2023,5.37704771,4.940751777,3.123002305,3.01585569,5.03300553,-2.287942497,-2.002328678,2.109664608,2.499686977,-2.478562857,-0.773814765,-2.008559228,3.233485362,-2.835237801,-0.303811135,-4.088000769,-4.78114795,-1.598936109,1.545716831,-5.653421796,-2.066453206
NS6_3.mzML,Sample,NS,NS,NS_Apr_2023,29,Apr,2023,5.03371959,4.971420484,3.051317319,3.016985315,5.068969477,-2.06143323,-2.371588159,1.895180659,2.202841618,-2.823573282,-0.762150246,-1.996894709,3.328307986,-2.823573282,-0.292146617,-4.076336251,-4.769483431,-1.155866462,1.270056739,-4.769483431,-1.936270087
NS6_4.mzML,Sample,NS,NS,NS_Apr_2023,29,Apr,2023,5.591602812,4.955642435,3.233912701,3.001611771,4.891579602,-2.134083462,-2.326987128,2.046134729,3.074315596,-2.660626501,-0.96582874,-2.200573203,3.252126959,-3.027251776,-0.495825111,-4.280014745,-4.973161925,-1.711226611,2.546530479,-5.845435772,-1.97244211
NS6_5.mzML,Sample,NS,NS,NS_Apr_2023,29,Apr,2023,5.851262007,5.017535173,3.096087904,3.074011187,4.747134469,-2.063424774,-2.866920011,1.766729646,2.368457556,-2.866920011,-1.056811403,-0.664769316,3.337929516,-3.11823444,-0.586807774,-4.370997408,-4.370997408,-1.623726494,1.19906318,-5.936418435,-0.932183163
SMRW1_1.mzML,Sample,SMRW,SMRW_Low,SMRW_Feb_2023,21,Feb,2023,5.075776531,5.145736274,2.272821696,2.198153798,4.74865957,-3.113788278,-2.277540254,0.25173764,3.021887607,-3.113788278,-0.467431646,1.690232767,3.032650785,-2.528854682,0.002571983,-3.781617651,-4.474764831,-1.066922907,0.417086927,-4.474764831,-2.557842219
SMRW1_2.mzML,Sample,SMRW,SMRW_Low,SMRW_Feb_2023,21,Feb,2023,4.807216982,4.491847897,3.300519,2.333825201,5.168566444,-2.486130473,-2.581440652,0.75551446,3.534377887,-2.847143818,-0.771332045,1.257533649,3.085024482,-2.832755081,-0.301328415,-4.085518049,-4.77866523,-1.743712243,0.626261872,-4.77866523,-2.153996638
SMRW1_3.mzML,Sample,SMRW,SMRW_Low,SMRW_Feb_2023,21,Feb,2023,5.417478505,4.466135303,3.326689268,2.335721634,5.015263969,-2.802189573,-2.791016272,0.759558511,3.403933189,-3.056719438,-0.980907664,1.410686808,2.620034364,-3.0423307,-0.510904035,-4.295093669,-4.295093669,-0.936455902,0.8497811,-4.98824085,-1.90633088
SMRW1_4.mzML,Sample,SMRW,SMRW_Low,SMRW_Feb_2023,21,Feb,2023,6.358351599,4.540769066,3.564123216,2.430093787,4.837837958,-2.519294328,-3.082079691,0.808152045,3.764639076,-3.212441509,-1.271971083,1.080615561,2.664868696,-3.333394119,-0.801967454,-4.586157088,-3.918327715,-0.925162837,1.042003449,-5.279304268,-2.161354362
SMRW1_5.mzML,Sample,SMRW,SMRW_Low,SMRW_Feb_2023,21,Feb,2023,5.272820559,4.76447374,3.211639235,2.740555667,4.672277009,-2.56992876,-2.82370928,0.761659797,3.444565959,-2.748807972,-1.013600672,1.229813287,2.67113384,-3.075023709,-0.543597043,-4.327786677,-5.020933858,-1.72140013,1.074665454,-4.379079971,-1.619736476
SMRW1_6.mzML,Sample,SMRW,SMRW_Low,SMRW_Feb_2023,21,Feb,2023,6.827766578,5.610033255,2.562117552,2.639897429,5.425723625,-2.749216579,-2.931538136,0.628560528,2.884812153,-3.353810362,-1.121429528,1.379111836,2.592585899,-3.182852564,-0.651425899,-4.435615533,-5.128762713,-1.340037924,1.183879125,-5.128762713,-1.71103603
SMRW1_7.mzML,Sample,SMRW,SMRW_Low,SMRW_Feb_2023,21,Feb,2023,5.821496889,4.906318893,2.776066439,2.32587214,4.822004227,-2.395580626,-3.007758744,0.770605877,3.097307269,-3.150859587,-1.197650136,3.081915815,2.481041232,-3.259073172,-0.727646507,-4.511836141,-4.511836141,-1.513606987,1.128118671,-5.204983321,-1.729916091
SMRW1_8.mzML,Sample,SMRW,SMRW_Low,SMRW_Feb_2023,21,Feb,2023,6.012497801,5.044817978,3.034983729,2.618436408,5.058931918,-2.549497316,-3.026421388,0.737874705,3.168686704,-3.306723353,-1.21631278,2.472248441,2.518669247,-3.277735817,-0.746309151,-4.530498785,-4.581792079,-1.789658761,1.123743244,-5.223645966,-1.542294778
SMRW1_9.mzML,Sample,SMRW,SMRW_Low,SMRW_Feb_2023,21,Feb,2023,7.63919259,6.365295494,2.381052036,3.50433295,5.984184357,-2.709371292,-2.976574833,0.603936585,3.066977738,-3.71581312,-2.069333936,0.453627246,1.949045452,-2.327163046,-1.599330307,-5.383519941,-5.011956385,-1.716119518,2.33594303,-5.434813235,-1.339591865
SMRW1_10.mzML,Sample,SMRW,SMRW_Low,SMRW_Feb_2023,21,Feb,2023,5.888032688,5.173339678,4.230307581,3.532959976,4.829948818,-1.591640027,-3.18882038,1.868588704,4.226846636,-2.275579981,-2.162105831,0.445420623,2.314672977,-3.240915492,-1.692102202,-5.476291836,-4.808462463,-2.631382452,2.045594473,-6.169439016,-1.318972474
SMRW6_1.mzML,Sample,SMRW,SMRW_High,SMRW_Dec_2022,23,Dec,2022,8.47311772,7.145152063,1.153516787,5.53827265,6.700562122,-2.938167234,-2.68645031,1.272187457,2.733698225,-3.973600621,-2.248649822,0.1871939,1.987588796,-1.442985974,-1.778646192,-5.562835826,-5.562835826,-2.68645031,3.74170957,-4.895006454,-5.157370718
SMRW6_2.mzML,Sample,SMRW,SMRW_High,SMRW_Dec_2022,23,Dec,2022,8.273382923,6.92085591,1.475467921,5.38639342,6.491553666,-3.076839991,-1.561790697,1.10926235,3.326933802,-3.956573127,-2.408828783,0.278028734,1.854235143,-1.616247706,-1.938825154,-5.723014788,-5.774308083,-3.225685618,3.563369538,-5.351451232,-4.045918227
SMRW7_1.mzML,Sample,SMRW,SMRW_High,SMRW_Mar_2022,30,Mar,2022,4.777233436,2.046565791,3.592320009,3.409946763,4.719725864,-2.246686213,-2.365949634,2.195930236,3.828959032,-3.233450201,-1.75981383,0.923322522,2.995655472,-3.49502113,-1.289810201,-5.073999835,-4.702436278,-2.217529628,5.106524581,-5.767147015,-1.44433974
SMRW7_2.mzML,Sample,SMRW,SMRW_High,SMRW_Mar_2022,30,Mar,2022,4.353860448,3.925744088,4.052814264,3.473530931,4.308713658,-2.345773961,-2.184162702,2.227772389,3.973299494,-3.145178116,-2.24243161,0.46707208,3.123952139,-3.446404414,-1.77242798,-5.556617614,-4.491906877,-2.516868455,4.907298253,-6.249764795,-0.862521219
SMRW7_3.mzML,Sample,SMRW,SMRW_High,SMRW_Mar_2022,30,Mar,2022,4.047710008,4.276853832,4.335770467,3.933824498,4.245931878,-2.252836174,-2.117978697,2.320571616,4.048983388,-2.896283686,-2.667901356,0.113490945,3.397053437,-3.782721455,-2.320919541,-6.105109175,-3.880485623,-2.801892202,5.143827306,-6.798256356,-0.239633111
SMRW8_1.mzML,Sample,SMRW,SMRW_Low,SMRW_Apr_2023,29,Apr,2023,6.533725871,4.970582284,2.529640912,2.574905139,5.38363753,-4.014846308,-1.886614602,0.918667932,3.638174106,-3.727164235,-0.653314182,-0.843761147,3.444876538,-3.167548447,-0.636121782,-4.420311416,-5.113458596,-1.886614602,4.490598137,-5.113458596,-3.021594535
SMRW8_2.mzML,Sample,SMRW,SMRW_Low,SMRW_Apr_2023,29,Apr,2023,6.641272268,4.85358297,2.40580888,2.88595452,5.430096003,-4.385019247,-2.062631527,0.995108495,3.407267743,-3.667179454,-1.070833242,-0.825394629,3.42624543,-3.132256278,-0.600829613,-3.946764316,-5.078166427,-1.72826234,4.504199463,-5.078166427,-2.974032273
SMRW8_3.mzML,Sample,SMRW,SMRW_Low,SMRW_Apr_2023,29,Apr,2023,6.553440479,5.421006256,1.902925033,2.371302889,5.857577602,-4.029452771,-2.400212232,1.212558759,2.397197485,-3.093359412,-0.34684293,-0.677795835,3.349274418,-2.776689803,-0.245263137,-3.59119784,-4.722599952,-1.066760352,1.225957094,-4.722599952,-2.618465798
SMRW8_4.mzML,Sample,SMRW,SMRW_Low,SMRW_Apr_2023,29,Apr,2023,5.823597336,4.36746235,2.686586785,2.080569824,5.405038817,-3.537654762,-1.811323098,1.310147828,3.496151501,-3.067651133,0.021116007,1.177266288,3.138042348,-3.201182526,-0.66975586,-4.453945494,-5.147092675,-1.847558947,1.685292297,-5.147092675,-2.308014211
SMRW8_5.mzML,Sample,SMRW,SMRW_Low,SMRW_Apr_2023,29,Apr,2023,6.377993989,4.7066683,2.706480114,2.70826377,6.054754226,-3.62171796,-2.304852105,0.638209938,3.013364001,-3.62171796,-1.025371748,0.782022435,3.719844925,-3.086794784,-0.555368119,-4.339557753,-5.032704933,-1.515207096,2.476904268,-5.90497878,-2.176234727
SBHP1_1.mzML,Sample,SBHP,SBHP,SBHP_Dec_2022,23,Dec,2022,8.645559704,7.209861938,2.295049434,4.792077208,6.879101025,-2.638312324,-2.744149825,0.683290509,3.354760372,-4.025465423,-2.249872587,0.240596754,2.149000576,-1.447124766,-2.918866782,-6.33149286,-4.945198499,-3.031831897,3.319832861,-5.638345679,-3.598469738
SBHP1_2.mzML,Sample,SBHP,SBHP,SBHP_Dec_2022,23,Dec,2022,8.573316348,7.104692746,2.429929624,4.798605924,6.732897242,-2.724286608,-2.724286608,0.664812568,3.07310039,-4.094437121,-2.26713648,0.191967898,2.265801478,-1.473592427,-2.952869882,-6.737059516,-4.059468523,-3.183141048,3.323265105,-5.672348779,-3.269762333
SBHP2_1.mzML,Sample,SBHP,SBHP,SBHP_Oct_2022,17,Oct,2022,9.392889095,8.203857923,0.261877654,4.536414695,7.662834829,-1.94794835,-4.27251235,1.182998681,1.695285448,-3.170203199,-2.296889303,-0.181506689,1.630454869,-0.721299812,-1.992400112,-5.776589746,-5.40502619,-2.864239082,4.334247285,-4.901121009,-5.371124638
SBHP2_2.mzML,Sample,SBHP,SBHP,SBHP_Oct_2022,17,Oct,2022,9.209109858,8.034194604,0.247769863,4.317135608,7.448514236,-2.144136131,-3.809467519,1.261017176,1.986826812,-3.426203121,-2.380675921,0.098836003,1.685587943,-0.859998665,-2.147539424,-5.931729058,-5.035641033,-3.033058497,4.179305042,-4.849923888,-4.849923888
SBHP2_3.mzML,Sample,SBHP,SBHP,SBHP_Oct_2022,27,Feb,2023,8.856489345,7.680025689,0.725901626,4.127744239,7.028654198,-2.235980871,-3.267804918,1.020111659,2.06435735,-3.593659564,-2.055161944,0.435644838,1.56371715,-1.048662501,-2.362813742,-6.147003376,-5.250915351,-2.979420845,4.02208167,-4.908629145,-3.674675508
TP1_1.mzML,Sample,TP,TP,TP_Feb_2023,27,Feb,2023,8.804911147,7.351952022,0.118842528,3.628118026,6.872192134,-3.18185903,-3.940434016,1.431857862,3.981744458,-3.87500621,-0.886298552,0.309483702,2.109870015,-1.845543038,-2.798866777,-6.583056411,-5.35928098,-3.198666148,3.233587023,-5.35928098,-0.814266775
TP1_2.mzML,Sample,TP,TP,TP_Feb_2023,27,Feb,2023,8.707393806,7.261109746,-0.805019838,3.62115599,6.739620237,-3.193323065,-1.931142317,1.405315334,3.986979327,-3.88485604,-0.739869849,0.112574907,2.045453502,-1.931142317,-2.84150643,-6.625696064,-6.254132508,-3.177297081,3.195596675,-5.277622916,-0.413591096
